CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,PurchaseInterval,BasketSize,CountryDiversity
12346.0,326,12,77556.46,6463.038333333334,27,35.90909090909091,6190.416666666667,1
12347.0,2,8,4921.53,615.19125,126,57.0,370.875,1
12348.0,75,5,2019.4,403.88,25,90.5,542.8,1
12349.0,19,4,4428.69,1107.1725,138,189.66666666666666,406.0,1
12350.0,310,1,334.4,334.4,17,0.0,197.0,1
12351.0,375,1,300.93,300.93,21,0.0,261.0,1
12352.0,36,10,2849.84,284.98400000000004,70,39.22222222222222,72.4,1
12353.0,204,2,406.76,203.38,23,204.0,106.0,1
12354.0,232,1,1079.4,1079.4,58,0.0,530.0,1
12355.0,214,2,947.61,473.805,35,353.0,271.5,1
12356.0,23,6,6371.73,1061.9550000000002,104,79.8,569.3333333333334,1
12357.0,33,3,18287.66,6095.886666666666,261,177.5,2195.6666666666665,1
12358.0,2,5,3887.07,777.414,56,182.0,215.8,1
12359.0,58,10,8873.39,887.3389999999999,305,74.88888888888889,273.9,1
12360.0,52,8,4252.89,531.6112499999999,160,85.71428571428571,307.375,1
12361.0,287,4,511.25,127.8125,18,131.0,58.75,1
12362.0,3,11,5356.23,486.92999999999995,201,73.0,202.72727272727272,1
12363.0,110,2,552.0,276.0,23,132.0,204.0,1
12364.0,8,4,1313.1,328.275,70,34.333333333333336,376.5,1
12365.0,291,2,641.38,320.69,22,0.0,87.0,1
12366.0,634,1,500.24,500.24,3,0.0,296.0,1
12367.0,4,1,168.9,168.9,11,0.0,173.0,1
12368.0,628,1,917.6999999999999,917.6999999999999,18,0.0,330.0,1
12369.0,413,3,1791.15,597.05,90,113.5,413.6666666666667,1
12370.0,51,7,4316.56,616.6514285714285,168,102.66666666666667,372.0,2
12371.0,45,5,4067.38,813.476,134,149.5,287.2,1
12372.0,72,3,1298.04,432.68,34,112.0,264.6666666666667,1
12373.0,311,3,1127.65,375.8833333333334,36,180.5,172.0,1
12374.0,25,4,2989.2200000000003,747.3050000000001,79,187.33333333333334,340.5,1
12375.0,11,2,457.5,228.75,14,87.0,89.0,1
12376.0,390,2,503.15,251.575,11,28.0,120.0,1
12377.0,315,4,3426.32,856.58,129,91.0,526.25,1
12378.0,130,2,5416.32,2708.16,281,432.0,1658.0,1
12379.0,82,4,1620.22,405.055,58,150.66666666666666,203.75,1
12380.0,22,11,9676.300000000001,879.6636363636364,156,63.7,305.0,1
12381.0,5,5,1845.31,369.062,70,28.25,161.6,1
12383.0,185,5,1850.56,370.11199999999997,84,41.25,306.4,1
12384.0,29,2,585.27,292.635,26,92.0,63.0,1
12385.0,379,1,1938.4,1938.4,65,0.0,612.0,1
12386.0,338,2,401.9,200.95,10,29.0,177.0,1
12387.0,415,1,143.94,143.94,9,0.0,134.0,1
12388.0,16,8,3901.11,487.63875,83,80.42857142857143,250.125,1
12389.0,403,3,1433.33,477.77666666666664,41,126.0,204.66666666666666,1
12390.0,80,1,549.84,549.84,32,0.0,353.0,1
12391.0,22,6,2724.84,454.14000000000004,241,128.0,200.66666666666666,1
12392.0,591,1,234.75000000000003,234.75000000000003,7,0.0,73.0,1
12393.0,72,6,2399.4500000000003,399.9083333333333,63,70.8,218.5,1
12394.0,64,2,1272.48,636.24,26,153.0,409.5,2
12395.0,19,15,4721.17,314.74466666666666,145,41.214285714285715,213.66666666666666,1
12396.0,674,1,931.43,931.43,65,0.0,591.0,1
12397.0,36,2,2409.9,1204.9499999999998,110,99.0,631.5,1
12398.0,46,1,1635.6599999999999,1635.6599999999999,85,0.0,1394.0,1
12399.0,119,7,1962.3,280.3285714285715,67,87.33333333333333,314.0,1
12400.0,414,1,205.25,205.25,11,0.0,91.0,1
12401.0,303,1,84.3,84.3,5,0.0,11.0,1
12402.0,323,6,1256.9,209.48333333333335,43,69.0,97.33333333333333,1
12403.0,50,2,1019.36,509.68000000000006,5,471.0,130.0,1
12404.0,682,1,63.24,63.24,1,0.0,1.0,1
12405.0,149,1,1710.39,1710.39,54,0.0,857.0,1
12406.0,22,5,6390.36,1278.0720000000001,114,168.25,683.2,1
12407.0,50,5,1708.1200000000001,341.62399999999997,57,53.0,283.2,1
12408.0,33,8,4340.7699999999995,542.5962499999999,104,66.14285714285714,278.625,1
12409.0,79,7,23419.29,3345.612857142857,177,80.66666666666667,1877.5714285714287,1
12410.0,309,3,1013.71,337.9033333333333,36,96.5,113.66666666666667,1
12411.0,410,1,346.9,346.9,22,0.0,138.0,1
12412.0,75,6,2596.93,432.82166666666666,82,92.4,332.8333333333333,1
12413.0,67,4,999.45,249.8625,41,111.33333333333333,79.75,2
12414.0,217,6,952.41,158.73499999999999,21,49.0,82.5,1
12415.0,24,28,144458.37,5159.2275,498,18.14814814814815,3276.535714285714,1
12416.0,657,1,202.56,202.56,11,0.0,132.0,1
